"","X","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","years","Location.2","Length","Sex","Lat","Long","State","Museum","N.quantity..ug.","d15N","C.quantity..ug.","d13C","Year","d13C.s","TP.GLU","TP.ALA","TP.ASP","TP.VAL","TP.PRO","TPmean"
"57",57,"NM_2065",13.38147061,21.19140175,23.44987104,NA,23.65539556,13.35883333,25.8699176,NA,-22.94070833,15.23866667,26.01433333,15.39366667,1982,"Coastal",152,"F",46.96833333,-124.1672222,"WA","NMML",42.7739,16.9694,120.1673,-12.3241,1983,-12.8318845937567,3.39163594586777,4.62940851647727,3.60973729057377,2.21604578333333,2.66171701282722,3.30170890981587
"58",58,"NM_2067",10.09751988,21.18677913,16.96083115,NA,24.01933729,11.45499313,29.54245454,NA,-10.7834506,15.92255842,27.45833333,25.48433333,1982,"Coastal",136,"M",46.245821,-123.867945,"WA","NMML",46.3945,17.8405,130.881,-12.7824,1983,-13.2901845937567,5.00463759793389,6.84728578806818,5.20951761762295,2.96383582126437,3.68356622696335,4.74176861037055
"59",59,"NM_2068",12.60160374,25.81127148,23.51947869,NA,24.32166463,15.17064089,29.03002339,NA,-10.06615851,16.80996907,30.10866667,33.96133333,1982,"Coastal",176,"M",46.204797,-123.949117,"WA",NA,NA,NA,NA,NA,1983,NA,3.7816395661157,5.16566349431818,3.99654415983606,2.39685205938697,2.90878736910995,3.64989732975337
"60",60,"NM_2231",11.22227932,21.07821306,22.14672432,NA,22.86450803,12.11708677,34.52881579,NA,-24.57717053,12.81472079,22.69233333,34.31066667,2013,"Inland",NA,"F",47.320554,-122.574221,"WA","NMML",47.2045,17.8413,131.5467,-10.5979,2014,-11.770592105584,6.25545880743802,8.56716495113636,6.45008619426229,3.54371845095785,4.47597128638743,5.85847993803639
"61",61,"NM_2232",18.06113347,24.69064358,20.99145626,NA,23.32625629,12.05602983,28.27049167,NA,-17.47400636,14.6139983,27.28266667,10.485,2013,"Inland",NA,"F",47.689483,-122.40326,"WA","NMML",55.5454,16.9191,157.1532,-12.9218,2014,-14.094492105584,4.46286086280992,6.10234277727272,4.67218167540983,2.71266729655172,3.3403464104712,4.25807980450308
"62",62,"NM_2233",13.83663688,24.05547425,21.08422358,NA,22.53326077,14.32697832,25.57555802,NA,-10.67557149,14.73799741,29.15066667,14.244,2013,"Inland",NA,"M",47.378484,-122.625431,"WA","NMML",44.2329,17.026,123.7433,-12.4132,2014,-13.585892105584,3.02644867355372,4.12727601704545,3.24754335655738,2.04674440421456,2.4303680078534,2.9756760918449
"63",63,"NM_2233",13.83663688,24.05547425,21.08422358,NA,22.53326077,14.32697832,25.57555802,NA,-10.67557149,14.73799741,29.15066667,14.244,2013,"Inland",NA,"M",47.378484,-122.625431,"WA","NMML",47.7112,17.0187,132.8897,-12.5233,2014,-13.695992105584,3.02644867355372,4.12727601704545,3.24754335655738,2.04674440421456,2.4303680078534,2.9756760918449
"64",64,"NM_2234",15.54098714,24.09619775,23.48808933,NA,22.80199658,11.6237319,26.04870733,NA,-30.94316363,14.83303763,27.102,9.373666667,2013,"Inland",NA,"F",47.579966,-122.409659,"WA","NMML",42.7739,16.3416,121.1143,-13.1792,2014,-14.351892105584,3.9452408268595,5.39061522784091,4.15880442663934,2.4726978545977,3.0124300526178,3.79595767771105
"65",65,"NM_2235",13.59101517,23.94611664,19.93516563,NA,22.39640238,10.2722802,26.67402842,NA,-4.757630255,14.41365349,26.377,9.353,2013,"Inland",NA,"F",47.720204,-122.79073,"WA","NMML",46.1939,16.3935,129.1733,-13.7537,2014,-14.926392105584,4.51703460909091,6.17683167840909,4.72591137459016,2.73778232835249,3.37466590418848,4.30644517892623
"66",66,"NM_2236",12.18072765,23.56414387,9.765487271,NA,20.72850888,13.86935583,26.1108804,NA,-17.09781291,13.8505074,27.38533333,30.71866667,2014,"Inland",NA,"",47.2179,-122.6599,"WA","NMML",42.9932,16.394,119.3807,-14.1314,2015,-15.3361861118319,3.31366413181818,4.52219727215909,3.5324045897541,2.17989793084291,2.61232125628272,3.2320970361714
