Year,Month,Discharge
2001,4,115700
2001,5,138000
2001,6,131600
2001,7,86780
2001,8,99450
2001,9,83650
2001,10,86960
2001,11,107000
2001,12,121900
2002,1,141100
2002,2,147200
2002,3,127000
2002,4,219200
2002,5,236500
2002,6,322100
2002,7,228000
2002,8,151100
2002,9,105900
2002,10,107400
2002,11,127300
2002,12,122600
2003,1,121000
2003,2,133300
2003,3,155600
2003,4,202300
2003,5,241900
2003,6,245000
2003,7,146900
2003,8,131300
2003,9,94570
2003,10,106700
2003,11,124000
2003,12,141600
2004,1,140700
2004,2,135600
2004,3,142600
2004,4,162200
2004,5,219800
2004,6,222400
2004,7,146700
2004,8,129600
2004,9,114100
2004,10,111300
2004,11,124200
2004,12,154200
2005,1,149100
2005,2,145500
2005,3,132700
2005,4,145200
2005,5,232700
2005,6,195200
2005,7,175900
2005,8,136000
2005,9,94560
2005,10,110600
2005,11,123300
2005,12,134200
2006,1,182100
2006,2,177900
2006,3,164400
2006,4,305300
2006,5,341200
2006,6,313500
2006,7,180500
2006,8,136600
2006,9,92890
2006,10,97040
2006,11,129700
2006,12,141300
2007,1,170800
2007,2,144100
2007,3,200500
2007,4,229100
2007,5,261600
2007,6,214600
2007,7,171100
2007,8,141800
2007,9,89470
2007,10,96920
2007,11,114100
2007,12,129400
2008,1,146900
2008,2,134300
2008,3,142900
2008,4,161200
2008,5,308900
2008,6,360200
2008,7,206600
2008,8,131000
2008,9,93160
2008,10,96350
2008,11,120200
2008,12,135400
2009,1,178900
2009,2,131400
2009,3,137200
2009,4,231600
2009,5,276500
2009,6,287700
2009,7,164900
2009,8,119300
2009,9,82330
2009,10,90760
2009,11,118000
2009,12,134600
2010,1,119500
2010,2,118900
2010,3,112100
2010,4,133900
2010,5,205000
2010,6,338700
2010,7,188200
2010,8,125600
2010,9,88030
2010,10,103900
2010,11,126300
2010,12,140800
2011,1,204200
2011,2,215300
2011,3,228900
2011,4,301400
2011,5,395700
2011,6,487400
2011,7,329400
2011,8,199000
2011,9,123000
2011,10,120000
2011,11,134200
2011,12,141100
2012,1,148500
2012,2,145000
2012,3,208700
2012,4,335400
2012,5,358200
2012,6,352800
2012,7,327300
2012,8,203000
2012,9,118000
2012,10,97230
2012,11,134600
2012,12,182800
2013,1,184700
2013,2,145600
2013,3,133000
2013,4,237900
2013,5,293000
2013,6,248900
2013,7,210100
2013,8,152500
2013,9,101500
2013,10,110700
2013,11,118900
2013,12,130300
2014,1,131300
2014,2,124600
2014,3,232100
2014,4,246200
2014,5,314800
2014,6,280500
2014,7,214100
2014,8,149800
2014,9,92010
2014,10,94190
2014,11,128600
2014,12,164500
2015,1,196100
2015,2,236000
2015,3,199800
2015,4,178500
2015,5,185500
2015,6,154600
2015,7,131400
2015,8,134000
2015,9,95670
2015,10,92180
2015,11,125000
2015,12,133500
2016,1,145400
2016,2,169300
2016,3,207500
2016,4,280300
2016,5,250100
2016,6,196100
2016,7,152500
2016,8,126700
2016,9,90770
2016,10,110900
2016,11,141900
2016,12,154100
2017,1,173500
2017,2,217200
2017,3,352700
2017,4,390100
2017,5,418900
2017,6,368200
2017,7,183000
2017,8,128900
2017,9,108900
2017,10,92290
2017,11,119500
2017,12,150100
2018,1,196000
2018,2,237700
2018,3,200500
2018,4,272000
2018,5,450700
2018,6,275200
2018,7,171100
2018,8,133500
2018,9,93320
2018,10,90030
2018,11,126000
2018,12,123400
