UTC,Year,Month,DAY,degrees_north,degrees_east,Upwelling Index,Upwelling Index Anomaly
3/15/87 0:00,1987,3,15,45,235,-38,-23
4/15/87 0:00,1987,4,15,45,235,-1,-10
5/15/87 0:00,1987,5,15,45,235,23,-11
6/15/87 0:00,1987,6,15,45,235,43,-5
7/15/87 0:00,1987,7,15,45,235,35,-39
8/15/87 0:00,1987,8,15,45,235,99,49
9/15/87 0:00,1987,9,15,45,235,17,1
10/15/87 0:00,1987,10,15,45,235,4,24
11/15/87 0:00,1987,11,15,45,235,-90,-16
12/15/87 0:00,1987,12,15,45,235,-70,23
1/15/88 0:00,1988,1,15,45,235,-125,-31
2/15/88 0:00,1988,2,15,45,235,-6,41
3/15/88 0:00,1988,3,15,45,235,-9,6
4/15/88 0:00,1988,4,15,45,235,0,-9
5/15/88 0:00,1988,5,15,45,235,-6,-40
6/15/88 0:00,1988,6,15,45,235,14,-34
7/15/88 0:00,1988,7,15,45,235,66,-8
8/15/88 0:00,1988,8,15,45,235,71,21
9/15/88 0:00,1988,9,15,45,235,17,1
10/15/88 0:00,1988,10,15,45,235,0,20
11/15/88 0:00,1988,11,15,45,235,-92,-18
12/15/88 0:00,1988,12,15,45,235,-20,73
1/15/89 0:00,1989,1,15,45,235,-16,78
2/15/89 0:00,1989,2,15,45,235,-15,32
3/15/89 0:00,1989,3,15,45,235,-59,-44
4/15/89 0:00,1989,4,15,45,235,1,-8
5/15/89 0:00,1989,5,15,45,235,26,-8
6/15/89 0:00,1989,6,15,45,235,43,-5
7/15/89 0:00,1989,7,15,45,235,48,-26
8/15/89 0:00,1989,8,15,45,235,62,12
9/15/89 0:00,1989,9,15,45,235,28,12
10/15/89 0:00,1989,10,15,45,235,-1,19
11/15/89 0:00,1989,11,15,45,235,-12,62
12/15/89 0:00,1989,12,15,45,235,-22,71
1/15/90 0:00,1990,1,15,45,235,-47,47
2/15/90 0:00,1990,2,15,45,235,-26,21
3/15/90 0:00,1990,3,15,45,235,-4,11
4/15/90 0:00,1990,4,15,45,235,11,2
5/15/90 0:00,1990,5,15,45,235,9,-25
6/15/90 0:00,1990,6,15,45,235,15,-33
7/15/90 0:00,1990,7,15,45,235,103,29
8/15/90 0:00,1990,8,15,45,235,25,-25
9/15/90 0:00,1990,9,15,45,235,34,18
10/15/90 0:00,1990,10,15,45,235,-5,15
11/15/90 0:00,1990,11,15,45,235,-38,36
12/15/90 0:00,1990,12,15,45,235,-9,84
1/15/91 0:00,1991,1,15,45,235,-34,60
2/15/91 0:00,1991,2,15,45,235,-81,-34
3/15/91 0:00,1991,3,15,45,235,1,16
4/15/91 0:00,1991,4,15,45,235,7,-2
5/15/91 0:00,1991,5,15,45,235,51,17
6/15/91 0:00,1991,6,15,45,235,59,11
7/15/91 0:00,1991,7,15,45,235,80,6
8/15/91 0:00,1991,8,15,45,235,26,-24
9/15/91 0:00,1991,9,15,45,235,58,42
