"","Sample.ID","Year","Up.DFA1","Climate.DFA1.x","SST.DFA1","Dis.DFA1","years.x","Location.2","TP","AA","TP.norm","years.y","PHE.mean","PHE.norm","years","d13C.s","d13C.norm"
"126","NM_2027",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",4.72622913264463,"Glu",0.2265114028878,1992,10.98269079,-0.451948668232554,1992,-14.0506797664514,-0.30208178473081
"127","NM_2028",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",5.48389979892562,"Glu",1.16345487246394,1992,8.865713588,-1.28703253647293,1992,-12.7807797664514,0.573389409814615
"128","NM_2028",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",4.97250254811475,"ASP",0.916305983333757,1992,8.865713588,-1.28703253647293,1992,-12.7807797664514,0.573389409814615
"129","NM_2028",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",7.20513495079545,"ALA",1.16345487246394,1992,8.865713588,-1.28703253647293,1992,-12.7807797664514,0.573389409814615
"130","NM_2032",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",4.0968674897541,"ASP",0.374401055860529,1992,11.26091541,-0.342197419286742,1992,-13.8210797664514,-0.1437951588015
"131","NM_2032",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",4.6243078714876,"Glu",0.100474505457455,1992,11.26091541,-0.342197419286742,1992,-13.8210797664514,-0.1437951588015
"132","NM_2032",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",6.02319605056818,"ALA",0.100474505457455,1992,11.26091541,-0.342197419286742,1992,-13.8210797664514,-0.1437951588015
"133","NM_2044",1982,0.4137177243183,1.16971688612304,0.555053661073966,0.928853886994551,1981,"Coastal",6.14568073409091,"ALA",0.210631480423442,1981,10.81203959,-0.519265436727382,1981,-13.854357842606,-0.166737120438827
"134","NM_2044",1982,0.4137177243183,1.16971688612304,0.555053661073966,0.928853886994551,1981,"Coastal",4.71338764132232,"Glu",0.210631480423442,1981,10.81203959,-0.519265436727382,1981,-13.854357842606,-0.166737120438827
"135","NM_2044",1982,0.4137177243183,1.16971688612304,0.555053661073966,0.928853886994551,1981,"Coastal",4.57528886434426,"ASP",0.670482051959867,1981,10.81203959,-0.519265436727382,1981,-13.854357842606,-0.166737120438827
"136","NM_2045",1982,0.4137177243183,1.16971688612304,0.555053661073966,0.928853886994551,1981,"Coastal",6.60574298295454,"ALA",0.624389871867247,1981,13.2075799,0.425703203799604,1981,-13.922657842606,-0.213823255242711
"137","NM_2045",1982,0.4137177243183,1.16971688612304,0.555053661073966,0.928853886994551,1981,"Coastal",3.80063206270492,"ASP",0.191069614208763,1981,13.2075799,0.425703203799604,1981,-13.922657842606,-0.213823255242711
"138","NM_2045",1982,0.4137177243183,1.16971688612304,0.555053661073966,0.928853886994551,1981,"Coastal",5.0479783677686,"Glu",0.624389871867247,1981,13.2075799,0.425703203799604,1981,-13.922657842606,-0.213823255242711
"139","NM_2048",1982,0.4137177243183,1.16971688612304,0.555053661073966,0.928853886994551,1981,"Coastal",5.8330771485124,"Glu",1.5952512346289,1981,9.852350448,-0.897833954259132,1981,-14.460657842606,-0.58472135955442
"140","NM_2048",1982,0.4137177243183,1.16971688612304,0.555053661073966,0.928853886994551,1981,"Coastal",4.82095023868852,"ASP",0.822514691557731,1981,9.852350448,-0.897833954259132,1981,-14.460657842606,-0.58472135955442
"141","NM_2048",1982,0.4137177243183,1.16971688612304,0.555053661073966,0.928853886994551,1981,"Coastal",7.68525380647727,"ALA",1.5952512346289,1981,9.852350448,-0.897833954259132,1981,-14.460657842606,-0.58472135955442
"142","NM_2050",1982,0.4137177243183,1.16971688612304,0.555053661073966,0.928853886994551,1981,"Coastal",4.53087073181818,"Glu",-0.0150708386151253,1981,14.39043195,0.892302780090206,1981,-13.711557842606,-0.0682905604096229
"143","NM_2050",1982,0.4137177243183,1.16971688612304,0.555053661073966,0.928853886994551,1981,"Coastal",3.1892164,"ASP",-0.187317657052864,1981,14.39043195,0.892302780090206,1981,-13.711557842606,-0.0682905604096229
"144","NM_2050",1982,0.4137177243183,1.16971688612304,0.555053661073966,0.928853886994551,1981,"Coastal",5.89471998352272,"ALA",-0.0150708386151252,1981,14.39043195,0.892302780090206,1981,-13.711557842606,-0.0682905604096229
"145","NM_2062",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",4.06927423278688,"ASP",0.357324396157613,1982,12.91273121,0.30939425897101,1982,-13.1230845937567,0.337403886498105
"146","NM_2062",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",5.10291378636364,"Glu",0.692323585011644,1982,12.91273121,0.30939425897101,1982,-13.1230845937567,0.337403886498105
"147","NM_2062",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",6.68127918352272,"ALA",0.692323585011643,1982,12.91273121,0.30939425897101,1982,-13.1230845937567,0.337403886498105
"148","NM_2064",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",6.5992830528409,"ALA",0.618580113950227,1982,12.83990823,0.280667782475307,1982,-13.1340845937567,0.32982046800846
"149","NM_2064",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",5.04328023677686,"Glu",0.618580113950227,1982,12.83990823,0.280667782475307,1982,-13.1340845937567,0.32982046800846
"150","NM_2064",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",4.22670741147541,"ASP",0.454755185919283,1982,12.83990823,0.280667782475307,1982,-13.1340845937567,0.32982046800846
"151","NM_2065",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",4.86236306193182,"ALA",-0.943524195369335,1982,13.35883333,0.485368135141186,1982,-12.8318845937567,0.538157655969424
"152","NM_2065",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",3.78006569793389,"Glu",-0.943524195369335,1982,13.35883333,0.485368135141186,1982,-12.8318845937567,0.538157655969424
"153","NM_2065",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",3.43753834467213,"ASP",-0.0336384682941414,1982,13.35883333,0.485368135141186,1982,-12.8318845937567,0.538157655969424
"154","NM_2067",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",4.08813152131147,"ASP",0.368994620496724,1982,11.45499313,-0.265639592870965,1982,-13.2901845937567,0.222204865623594
"155","NM_2067",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",7.08024033352272,"ALA",1.05113051620477,1982,11.45499313,-0.265639592870965,1982,-13.2901845937567,0.222204865623594
"156","NM_2067",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",5.39306735,"Glu",1.05113051620477,1982,11.45499313,-0.265639592870965,1982,-13.2901845937567,0.222204865623594
"157","NM_2068",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",4.17006931818182,"Glu",-0.461241639947244,1982,15.17064089,1.20007175324466,1982,NA,NA
"158","NM_2068",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",5.39861803977272,"ALA",-0.461241639947244,1982,15.17064089,1.20007175324466,1982,NA,NA
"159","NM_2068",1983,-1.29930303543296,1.75247217559322,1.92127906070115,0.445275009028164,1982,"Coastal",3.10890025327869,"ASP",-0.237022971211281,1982,15.17064089,1.20007175324466,1982,NA,NA
"160","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",3.51050449132231,"Glu",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-13.3979757489752,0.14789346203231
"161","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",3.51050449132231,"Glu",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-12.1424757489752,1.01343727237311
"162","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",2.45602759836066,"ASP",-0.641066762439761,1979,14.41327274,0.901312785133645,1979,-13.3979757489752,0.14789346203231
"163","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",2.45602759836066,"ASP",-0.641066762439761,1979,14.41327274,0.901312785133645,1979,-12.1424757489752,1.01343727237311
"164","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",2.45602759836066,"ASP",-0.641066762439761,1979,14.41327274,0.901312785133645,1979,-13.3979757489752,0.14789346203231
"165","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",2.45602759836066,"ASP",-0.641066762439761,1979,14.41327274,0.901312785133645,1979,-12.1424757489752,1.01343727237311
"166","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",2.45602759836066,"ASP",-0.641066762439761,1979,14.41327274,0.901312785133645,1979,-13.3979757489752,0.14789346203231
"167","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",2.45602759836066,"ASP",-0.641066762439761,1979,14.41327274,0.901312785133645,1979,-12.1424757489752,1.01343727237311
"168","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",3.51050449132231,"Glu",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-13.3979757489752,0.14789346203231
"169","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",3.51050449132231,"Glu",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-12.1424757489752,1.01343727237311
"170","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",3.51050449132231,"Glu",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-13.3979757489752,0.14789346203231
"171","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",3.51050449132231,"Glu",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-12.1424757489752,1.01343727237311
"172","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",4.49171640284091,"ALA",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-13.3979757489752,0.14789346203231
"173","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",4.49171640284091,"ALA",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-12.1424757489752,1.01343727237311
"174","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",4.49171640284091,"ALA",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-13.3979757489752,0.14789346203231
"175","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",4.49171640284091,"ALA",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-12.1424757489752,1.01343727237311
"176","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",3.51050449132231,"Glu",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-13.3979757489752,0.14789346203231
"177","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",3.51050449132231,"Glu",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-12.1424757489752,1.01343727237311
"178","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",4.49171640284091,"ALA",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-13.3979757489752,0.14789346203231
"179","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",4.49171640284091,"ALA",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-12.1424757489752,1.01343727237311
"180","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",4.49171640284091,"ALA",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-13.3979757489752,0.14789346203231
"181","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",4.49171640284091,"ALA",-1.27686640251255,1979,14.41327274,0.901312785133645,1979,-12.1424757489752,1.01343727237311
"182","RM_10273",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Inland",2.45602759836066,"ASP",-0.641066762439761,1979,14.41327274,0.901312785133645,1979,-13.3979757489752,0.14789346203231
